dayStart	monthStart	yearStart	dayEnd	monthEnd	yearEnd	date	type	category	titleDE	titleEN	descriptionDE	descriptionEN	linkDE	linkEN
28	1	2013				28.01.13	project	gema-youtube	GEMA versus YouTubes Top 1000	GEMA versus YouTube's Top 1000	<cite>Ein großer Teil der YouTube-Videos ist nicht überall zu sehen. Fast 19% der weltweiten Top 1000-Videos sind in einem oder mehreren Ländern außerhalb Deutschlands gesperrt. In Deutschland jedoch sind über 60% der 1000 beliebtesten Videos nicht verfügbar, weil YouTube davon ausgeht, dass die Musikrechte „möglicherweise“ bei der Musikverwertungsgesellschaft GEMA liegen.</cite>	"<cite>A lot of YouTube videos can't be seen in other countries. Almost 19% of the world's top 1000 videos are blocked in one or more countries outside Germany. In Germany, however over 60% of the 1000 most popular videos are not available, because YouTube assumes that the music rights are ""maybe"" owned by the music collecting society GEMA.</cite>"	http://apps.opendatacity.de/gema-vs-youtube/	http://apps.opendatacity.de/gema-vs-youtube/en/
27	11	2012				27.11.12	project	afghanistan	WAZ - Die Afghanistan Papiere	WAZ - The Afghanistan Papers			http://afghanistan.derwesten-recherche.org	
8	7	2012				08.07.12	project	openplanb	openPlanB - innovation without permission		<cite>Wir sind im Jahr 2012 angekommen - deutsche Verkehrsunternehmen aber noch nicht. Weder die Unternehmen noch die Politik haben es verstanden, welche Innovationskraft tausende freiwillige Entwickler_innen haben, um völlig neue Verkehrsapps oder Mobilitätskonzepte zu entwickeln - für Menschen, die viel reisen oder täglich pendeln, denen wegen Rollstuhl oder Gehhilfe Barrieren in den Weg gelegt werden, oder einfach mehr erwarten, als nur eine langweilige Fahrplanauskunft. Deshalb nehmen wir das jetzt in die Hand und werden alle Fahrpläne veröffentlichen - als Start für neue Innovation ohne Erlaubnis.</cite>	<cite>We are in the year 2012 - but german transport companies not yet. Neither companies nor politicians understand the innovation power of thousand voluntary developers to create new traffic apps and mobility concepts ... That is why we take action and post all time tables - to start new innovations without permission.</cite>	http://openplanb.tumblr.com	
26	6	2012				26.06.12	project	maltespitz	"TED - Computer Animation für den TED-Talk ""Ihre Telefongesellschaft beobachtet Sie"""	"TED - Computer Animation for the TED Talk: ""Your phone company is watching"""	<cite>Welche Art von Daten erhebt Ihre Telefongesellschaft? Malte Spitz machte sich nicht allzu viele Gedanken, als er seinen deutschen Telefonanbieter darum bat, die Informationen, die über ihn gespeichert sind, zu bekommen. Mehrere unbeantwortete Anfragen und ein Gerichtsverfahren später erhielt Spitz 35.830 Zeilen Code – eine detaillierte, nahezu minutengenaue Aufschlüsselung eines halben Jahres seines Lebens.</cite>	<cite>What kind of data is your cell phone company collecting? Malte Spitz wasn’t too worried when he asked his operator in Germany to share information stored about him. Multiple unanswered requests and a lawsuit later, Spitz received 35,830 lines of code -- a detailed, nearly minute-by-minute account of half a year of his life.</cite>	http://www.ted.com/talks/malte_spitz_your_phone_company_is_watching.html	http://www.ted.com/talks/malte_spitz_your_phone_company_is_watching.html
22	4	2012				22.04.12	project	parteispenden	taz - Parteispenden	taz - Party donations			http://taz.de/Parteispenden-Watch/!t200/#parteispenden-karte	
9	3	2012				09.03.12	project	zugmonitor	Süddeutsche - Zugmonitor	Süddeutsche - Train monitor	<cite>Live-Karte zu Verspätungen im Fernverkehr. Darstellung errechnet aus offiziellen Angaben der Bahn.</cite>		http://zugmonitor.sueddeutsche.de	
5	11	2011				05.11.11	project	facebook	taz - Was Facebook über dich weiß	taz - What Facebook knows about you	<cite>Max Schrems hat seine Daten von Facebook erstritten. Mittlerweile ist er weltberühmt. Der taz hat er seine Online-Akte gegeben, um ein Aufklärungsvideo daraus zu machen.</cite>		http://www.taz.de/!81259/	
25	4	2011				25.04.11	project	crowdflow	crowdflow.net	crowdflow.net	"Im April 2011 war Apples ""location gate"" in den Nachrichten (http://petewarden.github.com/iPhoneTracker/). Daraufhin habe ich einen Java-App entwickelt, die die Daten extrahieren kann, und eine Website gestartet, auf der man seine Geokoordinaten ""spenden"" kann. Innerhalb von 2 Monaten haben ich so 1500 Datenbanken erhalten, aus der ich z.B. eine weltweite Karte von W-LAN-Routern generiert habe."	"In April 2011, Apple's ""location gate"" was in the news (http://petewarden.github.com/iPhoneTracker/). So I developed a Java application that can extract the data, and launched a website where everybody can ""donate"" their databases. Within 2 months, I have received 1500 databases from which I generated e.g. a global map of wireless routers."		http://crowdflow.net
	2	2011				31.01.11	project	maltespitz	zeit.de - Verräterisches Handy	zeit.de - Tell-All Telephone	Mein erstes bekanntes Datenvisualisierungsprojekt war auch zugleich das erste Projekt im Rahmen von OpenDataCity.		http://www.zeit.de/datenschutz/malte-spitz-vorratsdaten	http://www.zeit.de/datenschutz/malte-spitz-data-retention/
9	2	2013				09.02.13	radio	general	Deutschlandradio - Big Beautiful Data		<cite>Über Chancen und Risiken großer Datenmengen spricht Philip Banse mit dem Sozialforscher Benedikt Köhler und dem Daten-Wissenschaftler Michael Kreil.</cite>	<cite>Philip Banse talks with data scientist Michael Kreil and social researcher Benedikt Koehler about the opportunities and risks of large data sets.</cite>	http://breitband.dradio.de/brb130209/	
23	12	2012				23.12.12	radio	openplanb	Medienradio - Open Verkehr	Medienradio - Open Transport	<cite>Die OpenData-Aktivisten Julia Kloiber von der Open Knowledge Foundation und der Entwickler Michael Kreil (u.a. OpenPlanB) geben einen Überblick über Ideen und praktische Beispiele, wie nicht nur Verkehrsunternehmen von der maschinenlesbaren Veröffentlichung ihrer Daten profitieren könnten.</cite>		http://www.kuechenstud.io/medienradio/podcast/mr065-open-verkehr/	
21	9	2012				21.09.12	radio	openplanb	Logbuch: Netzpolitik		<cite>Unser Gast Michael Kreil, der mit OpenPlanB vor kurzem die Fahrplandaten der Deutschen Bahn frei ins Netz gestellt hat erzählt uns, wie und warum er das getan hat – und warum es gar nicht so cool ist, dass die Bahn nun mit Google kooperiert – aber eben auch nur mit Google.</cite>	<cite>Our guest Michael Kreil has published the time table data of Deutsche Bahn recently.</cite>	http://logbuch-netzpolitik.de/lnp038/	
12	8	2012				12.08.12	radio	openplanb	fluxfm Netzwelt - OpenPlanB und 5Fav	fluxfm - OpenPlanB			http://www.fluxfm.de/programm/netzwelt-openplanb-und-5fav/	
21	5	2011				21.05.11	radio	general	Deutschlandradio - Schöne neue Datenwelt	Deutschlandradio - Beautiful New Data World	<cite>Daten sind überall, sogar dort, wo wir sie nicht vermuten. Was erzählen uns diese Daten für Geschichten? Der schnelle Facebook-Eintrag vom Handy aus, der Tweet von unterwegs, ein Check-in bei Foursquare – nicht nur beim Surfen zuhause oder im Büro, sondern auch von unterwegs fallen immer mehr aufschlussreiche Daten über uns an.</cite>		http://breitband.dradio.de/schone-neue-datenwelt/	
16	5	2011				16.05.11	radio	general	Medienradio - Daten sehen	Medienradio - seeing data	<cite>Diese mag auf den ersten Blick nicht aussehen, wie ein Thema fürs Medienradio. Aber die Datenberge wachsen in den Himmel und werden immer mehr Informationen, Geschichten und Einsichten über unser Leben enthalten. Diese Schätze zu heben, wird allein mit traditionellen journalistischen Methoden nicht möglich sein. Wir brauchen gute Visualisierungen, Coder, die sie umsetzen und Journalisten, die sowohl die Programmierer, als auch die Daten verstehen.</cite>		http://www.kuechenstud.io/medienradio/podcast/mr045-daten-sehen/	
6	5	2011				06.05.11	radio	crowdflow		Deutsche Welle - German data visualization specialists seeks iPhone tracking data		<cite>A Berlin team is asking iPhone users to donate their tracking data as a way to make a bigger map of WiFi and mobile phone towers all over the globe. So far, they have several hundred sets.</cite>	http://www.dw.de/german-data-visualization-specialists-seek-iphone-tracking-data/a-15062976	
28	11	2012				28.11.12	tv	openplanb	ZDF Elektrischer Reporter - Verkehrsinformationen	ZDF Electrical Reporter - Transport data			http://www.elektrischer-reporter.de/phase3/video/292/	
21	12	2012				21.12.12	tweet	gema-youtube	"""Von den Top-1000-YouTube-Videos sind gesperrt in Deutschland: 261, Süd Sudan: 39, Vatikanstadt: 16, Afghanistan: 15, Palästina: 15, ..."""	"""Of the top 1000 YouTube videos are blocked in Germany: 261, South Sudan: 39, Vatican City: 16, Afghanistan: 15, Palestine: 15, ..."""	"Mit diesem Tweet und seinen circa 500 Retweets begann die Idee zur Datenvisualisierung ""GEMA versus YouTube"". "		https://twitter.com/MichaelKreil/status/282215429945040897	
13	7	2012				13.07.12	video	maltespitz	Animation von 6 Monaten Vorratsdaten	6 Month of Cell Phone Tracking Data	Die Animation zeigt die Daten aus http://www.zeit.de/datenschutz/malte-spitz-vorratsdaten als scrollende Tabelle. Sie wurde im TED-Talk http://ted.com/talks/malte_spitz_your_phone_company_is_watching.html verwendet.<br>Funfact: Die Animation habe ich in Google Chrome gerendert.	Shows the data of zeit.de/datenschutz/malte-spitz-data-retention/ The animation was produced for Malte Spitz's TED Talk: http://ted.com/talks/malte_spitz_your_phone_company_is_watching.html<br>Fun fact: I rendered this Animation in Google Chrome.		https://vimeo.com/45725939
13	7	2012				13.07.12	video	maltespitz	Unser Kommunikationsverhalten zeigt das Netzwerk unserer Gesellschaft	communication reveals the network of our society	Die Animation zeigt, wie die Kommunikation zwischen Menschen auch gleichzeitig das soziale Netzwerk unserer Gesellschaft abbildet. Da keine realen Telefonverbindungsdaten von so vielen Menschen veröffentlicht werden, musste ich dafür extra ein Modell entwickeln, und 1.000 Menschen inklusive 100.000 Telefonate simulieren. Die Animation wurde im TED-Talk http://ted.com/talks/malte_spitz_your_phone_company_is_watching.html verwendet.<br>Funfact: Die Animation habe ich in Google Chrome gerendert.	This is an animation that shows the communication between people on phones. Every dot represents a person, every line represents a phone call. the thicker the lines get, the more often these two people communicate. This graphic shows, that within the information about phone calls lies great knowledge about social circles, communities and even about entire societies. The animation was produced for Malte Spitz's TED Talk: http://ted.com/talks/malte_spitz_your_phone_company_is_watching.html<br>Fun fact: I rendered this Animation in Google Chrome.		https://vimeo.com/45725031
12	7	2011				12.07.11	video	crowdflow		iPhone fireflies	Das Video zeigt die Bewegung von 881 iPhone durch Europa im Monat April 2011.	<cite>The video shows the movement of 881 iPhones in Europe in April 2011.</cite>	https://vimeo.com/34832444	
16	5	2011				16.05.11	video	crowdflow		iPhone receives consolidated.db updates		<cite>If an iPhone with activated location App travels through a new region, it constantly updates the local database</cite>http://crowdflow.net/2011/05/16/deeper-insights-into-apples-gps/		https://vimeo.com/36382762
16	5	2011				16.05.11	video	crowdflow		iPhone scans for wifi and cell towers		<cite>We used actual data from our many donors to visualize this scanning process of an iPhone.</cite>http://crowdflow.net/2011/05/16/deeper-insights-into-apples-gps/		https://vimeo.com/36382766
16	5	2011				16.05.11	video	crowdflow		iPhones scans for wifi and cell towers		<cite>Here is a broader view of approximately 42 iPhones scanning for wifi and cell towers.</cite>http://crowdflow.net/2011/05/16/deeper-insights-into-apples-gps/		https://vimeo.com/36382764
31	3	2011				31.03.11	video	other	Das Deutschlandradio faxt das Firefox-Logo	"The Deutschlandradio ""faxes"" the Firefox logo"	Mir ist in einer Deutschlandradio-Folge ein Geräusch aufgefallen. Es war der charakteristische Sound eines unkomprimierten Bildes, das als PCM-Audio abgespielt wird. Mit ein bisschen Delphi habe ich versucht, diesen Sound wieder zurück zu konvertieren. Überraschender Weise war es das Firefox-Logo.		http://www.youtube.com/watch?v=h8VHdRo1rLc	
